xeber,label
"Merakesli futbolcu Murad Batnaya Birlesmis ereb emirlikleri futbol federasiya terefinden 1000 dirhem pul cezasi kesilib. idmanxeber.comun melumatina gore, buna sebeb adicekilen oyuncunun el Vehde  el Ves Dubai matcina sacini kesdirerek cixmasi sebeb olub Yeni sac stilini beyenmeyen federasiya oyuncunu cerimeleyib Lakin qurum Murad Baynayani cezalandirmqla kifayetlenmeyib el Nesrli klubunun uzvu ehmet elYassini ayagini teras etdiyi ucun eyni meblegde cerime olunub Qeyd edek ki her iki futbolcu hefte sonu kecirilen cempionat matclarinda reqib qapilarina yol tapmagi bacariblar",idman 
"Futzal uzre Avropa cempionatinin 1 4 finalinin gorusleri cercivesinde Portuqaliyaya 1 8 hesabi ile uduzan millimizin qapicisi Rovsen Huseynli yigmamizi tenqid edenlere sert cavab verib. idmanxeber comun melumatina gore qolkiper sexsi facebook sehifesinde bu meglubiyyete gore cox uzulduklerini bildirib. Rovsen bu agir meglubiyyete gore onlari tehqir edenlere bele cavab verib Qalib geldiyimiz butun oyunlarda bizim yanimizda olan her bir kese oz tesekkurumu bildirirem Qarsilasma haqda fikir bildirmeyecem her sey goz qabagindadi Lakin unutmayaq ki, bu futzaldi. Burada risk etmelisen, biz de etdik, lakin alinmadi, uduzduq. Her seyi qoyaq bir kenara biz kisiyik, tenqidi normal qebul edirem. Ancaq bele seye gore tehqire kecmek, bu nakisilikdi.",idman 
"Qis fasilesinde heyetini guclendirmekde davam eden klublardan biri de Sebaildi. idmanxeber.comun melumatina gore, paytaxt temsilcisi yeni mudafieci transfer edib. Sohber gurcustanli futbolcu Nikoloz Apakidzedeen gedir. Arxa xett oyuncusu movsumun sonunadek Sebailin serefini qoruyacaq.",idman 
"Arsenal Dortmund Borussiyasinin forvardi PyerEmerik Obameyanqi heyetine qatib. idmanxeber.comun melumatina gore, qabonlu hucumcu ile uzun muddetli muqavile imzalanib. Lakin muqavilenin muddeti ve sertleri barede ictimaiyyete hec bir melumat verilmeyib. Bu transferin London klubuna 63 milyon avroya basa geldiyi bildirilir.",idman 
"Fevralin 10u ve 11 Azerbaycan Premyer Liqasinin iii dovresinin gorusleri start goturecek. idmanxeber.comun melumatina gore, 15ci turun butun matclari her zaman oldugu kimi CBC Sport kanali vasitesi ile canli yayimlanacaq. Bes goresen hemin oyunlara Hansi serhciler teyin olunacaq Bezi futbol azarkesleri ucun bu amil bir o qeder onemli olmasa da, bezilerine maraq kesb edir. CBC Sport kanalindan saytimiza verilen melumata gore, yalniz turun merkezi oyunu olan Qarabag  Qebele matci zamani mikrafon onunde 2 serhci yer alacaq.",idman 
"Fransa kubokunun 1 8 final merhelesinin gorusleri cercivesinde Marsel seferde asagi deste temsilcisi Buran Press Perona kollektivinin qonagi olub. idmanxeber.comun m elumatina gore, ozunu qonaq kimi aparmayan Marsel futbolculari ev sahiblerini ne az, ne cox 9 cavabsiz qolla meglub edibler.",idman 
"Turkiyenin istanbul seherinde taekvondo uzre novbeti klublararasi Avropa cempionatina start verilib. Azerbaycan Taekvondo Federasiyasindan apasport.az saytina verilen melumata gore, yarisin ilk gun komandamiz ucun ugurlu alinib. Sumqayit GiNnin yetirmesi Fatime Hesenova 33 kq yeniyetmeler arasinda burunc medala sahib olub. Qeyd edek ki, fevralin 9da basa catacaq Avropa cempionatinda genclerden ibaret yigmamiz 17 idmanci ile temsil olunur. Hemcinin respublikamizda fealiyyet gosteren bir nece taekvondo klublarinin idmancilari da bu yarisda quvvelerini sinayacaq. ",idman 
"Qadin voleybolculardan ibaret Azerbaycan millisinin dunya cempionatinin hazirligina baslayacagi vaxt deqiqlesib. Apasport.az saytinin melumatina gore, yigmamizin bas mesqcisi Faiq Qarayev komandani aprelde bir araya getirecek. Millimiz bu il Yaponiyada teskil olunacaq mundial ucun telimmesq toplanisini Turkiyenin Antalya seherinde kececek. Araliq denizinin sahilinde meskunlasacaq millimizin qalacagi mekani da artiq melumdu. Bu, Bogazaq belediyyesinde yerlesenAlva Donna Exclusive Hotel  Spaotelidi. Qeyd edek ki, bu ilin yanvarinda BakininNeftcifutbol komandasi oz telimmesq toplanisi ucun mehz bu oteli secmisdi.",idman 
"Bolqaristanin Sofiya seherinde kecirilen cudo uzre aciq Avropa Kubokuna yekun vurulub. Apasport.az saytinin melumatina gore, Azerbaycan yigmasi son gunde daha bir medal elde edib. 100 kq ceki derecesinde mubarize aparan Usanqi Kokauri yarisi 3cu pillede basa vurub. ispaniyali celaru Qriqoras ve ukraynali Andrey Kolesnike qalib gelen idmancimiz yarimfinalda Belcika temsilcisi Benjamin Harmenyise meglub olub. Teselliverici gorusde Stanislav Bondarenkonu (Ukrayna) usteleyen Kakauri turnirin burunc medalina layiq gorulub. Qeyd edek ki, qite kuboku ugrunda turnirde Avropanin 29 olkesinden 244 cudocu mubarize aparib. Azerbaycan cudoculari Sofiya turnirinde 1 qizil ve 1 burunc medal qazaniblar. Beynelxalq turnirin ilk gununde Tofiq Memmedov butun reqiblerine qalib gelerek cempion olub.",idman 
"Bu gun Dovlet Statistika Komitesinin sedri Tahir Budaqov olkemizde seferde olan Dunya Bankinin Cenubi Qafqaz uzre regional direktoru Mersi Tembonun rehberlik etdiyi numayende heyeti ile gorusub APAEconomicsxeber verir ki Dunya Bankinin Azerbaycan uzre olke meneceri Navid Naqvinin ve diger emekdaslarinin da qatildigi gorusde Azerbaycan hokumeti ile Dunya Banki arasinda feal terefdasliq etrafinda muzakire aparilib Bununla yanasi Dunya Bankinin Azerbaycanda iqtisadi Artimin Berpasi Proqrami is yerlerinin diaqnostikasi yoxsullugun qiymetlendirilmesi cercivesinde planlasdirilan fealiyyetler ve Dunya Bankinin Dovlet Statistika Komitesi ile heyata kecirdiyi layiheler de esas muzakire movzusu olub T Budaqov son iller erzinde Azerbaycan prezidenti ilham eliyevin rehberliyi ile olkemizde dayaniqli sosialiqtisadi inkisafin temin edildiyini makroiqtisadi sabitliyin neinki qorunub saxlanildigini eyni zamanda iqtisadi potensialin daha da guclendirildiyini bildirib Azerbaycanda qeyrineft sektorunun saxelendirilmesi ile bagli sistemli tedbirlerin gorulduyunu qeyd eden komite sedri bu istiqametde statistik informasiya teminatinin daha da guclendirilmesi meqsedile statistika sisteminde aparilmis islahatlar, qazanilmis nailiyyetler ve planlasdirilan isler barede etrafli melumat verib.Bildirilib ki Dovlet Statistika Komitesinin tesebbusu ve Avropa ittifaqinin Statistika Burosuna (Avrostat) resmi muracieti esasinda bas tutan ve Avrostat, BMTnin Avropa iqtisadi Komissiyasi ve Avropa Azad Ticaret Assosiasiyasi terefinden kecirilmis Azerbaycanin Milli Statistika Sisteminin Qlobal Qiymetlendirilmesinin neticelerinde Azerbaycanin milli statistika sisteminin beynelxalq ve Avropa standartlarina esasen uygun oldugu resmen tesdiq edilib. Dunya Bankinin Cenubi Qafqaz uzre regional direktoru Mersi Tembon olke iqtisadiyyatinin inkisafi ve dayaniqliligin statistik gostericilerde qabariq musahide olundugunu, Davos umumdunya iqtisadi Forumunun20172018 Qlobal Reqabetlilik Hesabati”nda Azerbaycanin reytinqde daha iki pille irelileyerek 35ci yerde qerarlasmasi, hemcinin, hemin teskilatin enenevi inkluziv inkisaf indeksinde dunyada inkisaf eden dovletler arasinda ucuncu yere layiq gorulmesini teqdirelayiq hal kimi qiymetlendirib.O, Azerbaycanin statistika sisteminin daha da tekmillesdirilesi istiqametinde aparilan islerin musbet ehemiyyetini, bununla bagli Dunya Banki terefinden zeruri destek gosterileceyini vurgulayib.Gorusde Dovlet Statistika Komitesi ile Dunya Banki arasinda statistika sahesinde ikiterefli emekdasliq elaqelerinin inkisafina dair fikir mubadilesi aparilib.",iqtisadiyyat
"Muasir texnoloji ve ekoloji telebleri nezere alaraq ilkin aluminium ve ya son aluminium mehsullarinin istehsal edilmesi meqsedile Azeraluminium ASC nin yeniden qurulmasi ve ise salinmasi nezerde tutulur. APA Economics xeber verir ki, bunu Azerbaycan Senaye Korporasiyasi ASC nin bas direktoru Kamran Nebizade Regionlarin 2014 2018 ci illerde sosial iqtisadi inkisafi dovlet proqraminin icrasinin dorduncu ilinin yekunlari qarsida duran vezifeleri movzusunda kecirilen tedbirde deyib.Bu da oz novbesinde bu sahenin reqabet qabiliyyetinin artirilmasi ve ixrac imkanlarinin genislendirilmesine boyuk yardim gosterecek,   deye bas direktor vurgulayib.",iqtisadiyyat
"Bu istiqametde Azersuse MMC nin balansinda olan suse zavodunda istehsala serf olunan vaxtin ve xerclerin azaldilmasi meqsedile qabaqcil texnologiyalarin tetbiqi ile bagli tedbirler gorulecek. Zavodun istehsal gucunun artirilmasi ve lazim olan xammalin idxalindan asililigin aradan qaldirilmasi nezerde tutulur ki, bu istiqametde de isler aparilir,  deye bas direktor elave edib.",iqtisadiyyat
"Medenden cixarilan alunit filizinden istifade edilmekle iqtisadi baximdan semereli ve ekoloji cehetden tehlukesiz metodlarin tetbiqi ile gil torpagin ve diger faydali yan mehsullarin istehsal edilmesi meqsedile Gence Gil Torpaq istehsalat zavodunun ise salinmasi nezerde tutulur. Zavodun muasir texnoloji teleblere uygun qurulmasi ve ise salinmasi, elece de texniki iqtisadi esaslandirilmasi uzre is aparilir,  deye bas direktor vurgulayib.",iqtisadiyyat
"K.Nebizadenin sozlerine gore, seki rayonunda yerlesen seki ipek ASCnin inkisafi ve yeniden qurulmasi istiqametinde inkisaf strategiyasi ve planlarin icrasi nezerde tutulub Burada xarici ve yerli meslehetci sirketlerin celb olunmasi nezerde tutulub.",iqtisadiyyat
"Prezident ilham eliyev Xizi rayonunun GileziXizi 34 km Findigan avtomobil yolunun tikintisi ile bagli tedbirler haqqinda serencam imzalayib. APAnin melumatina gore, bu meqsedle Azerbaycan Respublikasinin 2018 ci il dovlet budcesinin dovlet esasli vesait qoyulusu xerclerinin bolgusunde avtomobil yollarinin tikintisi ve yeniden qurulmasi ucun nezerde tutulmus vesaitin 2,0  iki milyon manati Azerbaycan Avtomobil Yollari Dovlet Agentliyine ayrilib.",iqtisadiyyat
"BP sirketinin 2017ci ilde gelirleri iki defeden cox artaraq 6,2 mlrd. dollara catib.APAEconomicsin melumatina gore, bunu BPnin maliyye direktoru Brayan Gilveri Brian Gilvary Reutersagentliyine musahibesinde bildirib.Onun sozlerine gore, buna sebeb neftin qiymetinin yukselmesi, hemcinin neft ve qaz hasilatinin artmasidir. Bu da sirkete sehm alisi heyata kecirmeye imkan verib.O bildirib ki, 2018 ci ilde neftin bir barelinin qiymeti 50 dollar olacagi halda gelir elde ede bilecek sirketin butun il erzinde istehsali 12 artaraq gundelik olaraq 2,47 mln. barele catib. Buna sebeb ise 2017ci ilde BPnin 7 yeni neft ve qaz yataqlarinin istismara vermesi olub. oten il BPnin emal ve ticaretden elde etdiyi gelirleri de 7 mlrd. dollara qeder artib. 2017ci ilin dorduncu rubunde sirketin pul axini 6,2 mlrd. dollara qeder artib. B. Gilvari bildirib ki, oten ilin dorduncu rubunde sirketin menfeetinin qiymetlendirmesinden sonra xalis menfeeti 2,1 mlrd. dollari otub. Bu da analitikler terefinden verilen 1,9 mlrd. dollarliq proqnozdan coxdur. sirketin butun il uzre kapital xercleri 16,6 mlrd. dollara catib ki, bunun da 2021ci ile qeder saxlanilmasi planlasdirilir. B. Gilvari qeyd edib ki, bu ilin yanvar ayinda neftin qiymetinin ciddi artimina ve uc illik maksimuma catmasina baxmayaraq, ilin sonunda neftin bir barelinin qiymetinin 5055 dollara qeder azalacagi gozlenilir. ",iqtisadiyyat
"Bu gun Abseron rayonunun tebii qaz techizatinda mehdudiyyet yaranib.Azeriqazistehsalat BirliyindenAPAEconomicse verilen melumata gore, Musviqabad qazpaylayici stansiyasinin cixisinda adi cekilen stansiyadan qidalanan orta tezyiqli diametri 426 mmlik yeralti qaz kemerinde qaz sizmasi askar edilib.Yarana bilecek bedbext hadiselerin qarsisinin alinmasi ve qaz sizmasinin legvi ucun aparilacaq temirberpa isleri ile elaqedar bu gun saat 12 30dan  etibaren hemin kemerde qaz techizati dayandirilib. Tebii qaz techizatinin dayanmasi neticesinde Abseron rayonunun Xirdalan seheri daxil olmaqla rayonun, Qobu, Asagi Guzdek, Bas Guzdek, Hokmeli, cicek qesebelerine, hemcinin, Atyali adlanan yasayis massivine tebii qazin verilisinde fasile yaranib.Azeriqazin TemirTikinti idaresinin briqadasi terefinden hemin erazide temirberpa isleri aparilir. Yaranmis mehdudiyyet saat 16 00dek aradan qaldirilacaq ve yasayis menteqelerinin qaz techizati berpa edilecek.Yaranmis mehdudiyyetle bagli Azeriqazbutun istehlakcilardan tebii qazdan istifade zamani xususile diqqetli olmalarini ve texniki tehlukesizlik qaydalarina riayet edilmesini xahis edir,  deye melumatda vurgulanib.",iqtisadiyyat
"Bu gun Milli Meclisin Regional meseleler komitesinin iclasi kecirilib.APAEconomicsin melumatina gore, iclasda edliyye Nazirliyi yaninda Belediyyelerle is merkezinin oten il uzre fealiyyeti muzakire olunub. edliyye nazirinin muavini Vilayet Zahirov bildirib ki, 2017ci ilde Belediyyelerle is merkezine 65 mine yaxin belediyye akti daxil olub: Her bir belediyye akti huquqi ekspertizadan kecirilib, 1979 aktin deyisdirilmesi ve legv edilmesi ucun belediyyelere teklifler verilib. Qanunvericiliye uygun olmadigi ucun 741 akt legv edilib, 714u ise deyisdirilib. Onun sozlerine gore, oten il 2636 hektar torpaq sahesinin qanunsuz istifadeye verilmesi hallari askarlanib:“Hemin torpaq sahelerinin belediyyelere qaytarilmasi istiqametinde is aparilib. Nazir muavini elave edib ki, oten il bezi belediyyelerin fealiyyetinde cox ciddi qanun pozuntulari qeyde alinib. V.Zahirov bildirib ki, qanun pozuntusu ile bagli 24 fakt uzre materiallar huquqi qiymet verilmesi ucun prokurorluga ve muvafiq huquq muhafize orqanlarina gonderilib: Bu faktlarla bagli Bas prokuror yaninda Korrupsiyaya qarsi Mubarize Bas idaresinde arasdirmalar aparilib ve 15 fakt uzre cinayet isi baslanilib”. umumilikde oten il torpaq qanunvericiliyinin pozulmasi hallari 2016ci ile nisbeten 3 defeden cox azalib. iclasin sonunda belediyyelerin fealiyyetine inzibati nezareti heyata keciren orqanin illik meruzesi Milli Meclisin plenar iclasina tovsiye olunub.",iqtisadiyyat
